Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
Terra Preta,AM-NA-08,1210,60,SI-6579,,Tupiguarani,Mamuí,-8.56,-59.5,,,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",FALSE,shcal20,0,0,,TP,,Terra Preta (AM-NA-08),Tupiguarani (Mamuí)
Terra Preta do Mangabal,PA01311,1200,30,Beta-432570,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Cabeludo,,1200,30,Beta-458479,Wood,Tupiguarani,,-2.2889,-45.4062,Wooden foundations of stilt houses in a lake.,,Navarro 2018,"Navarro, Alexandre Guida. 2018. “Morando No Meio Dos Rios e Lagos: Mapeamento e Análise Cerâmica de Quatro Estearias Do Maranhão.” Revista de Arqueologia 31 (1): 73–103.",FALSE,shcal20,0,0,,TP,,Cabeludo,Tupiguarani
Terra Preta do Mangabal,PA01311,1199,26,UBA-29068,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
SP-BA-07,SP-BA-07,1195,80,SI-1009,Charcoal,Tupiguarani,Guarani,-23.583,-49.6,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,SP-BA-07,Tupiguarani (Guarani)
Terra Preta do Mangabal,PA01311,1193,26,UBA-29069,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Onça Puma 3,PA00978,1190,40,Beta-236414,Charcoal,Tupiguarani,,-6.5294,-51.059,ADE site with 3.9 ha.,,Garcia 2012,"Garcia, Lorena L W G. 2012. “Arqueologia Na Região Dos Interflúvios Xingu-Tocantins: A Ocupação Tupi No Cateté.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Onça Puma 3 (PA00978),Tupiguarani
Ourilândia 12,PA01070,1190,30,Beta-297751,Charcoal,Tupiguarani,,-6.4899,-51.0735,,Two dates from this site have been published with the same laboratory number (2740 ± 30 and 1190 ± 30). This is probably an error.,Panachuk and Cruz 2014,"Panachuk, Lílian, and Daniel G Cruz. 2014. Saga e Persistência: A Histórica Formação Do Sudeste Do Pará Desde Os Tempos (Mais) Antigos. São Paulo: Scientia Consultoria Científica.",FALSE,shcal20,0,0,,TP,,Ourilândia 12 (PA01070),Tupiguarani
Zé Espinho,RJ00238,1180,170,BaH-1341,Marine shell,Tupiguarani,,-23.0206,-43.5789,Reoccupation of mid-Holocene shell mound.,,Kneip and Pallestrini 1987,"Kneip, A., Pallestrini, L., 1987. Arqueologia: estatigrafia, cronologia e estruturas do sambaqui do Zé do Espinho, in: Kneip, A. (Ed.), Coletores e Pescadores Pré-Históricos de Guaratiba - Rio de Janeiro. EDUFF/Museu Nacional, Rio de Janeiro, pp. 89–141.",FALSE,marine20,-54,101,,TP,,Zé Espinho (RJ00238),Tupiguarani
Mirim,,1170,40,Beta-217596,Charcoal,Tupiguarani,,-5.763,-50.516,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Mirim,Tupiguarani
Cabeludo,,1160,30,Beta-430864,Wood,Tupiguarani,,-2.2889,-45.4062,Wooden foundations of stilt houses in a lake.,,Navarro 2018,"Navarro, Alexandre Guida. 2018. “Morando No Meio Dos Rios e Lagos: Mapeamento e Análise Cerâmica de Quatro Estearias Do Maranhão.” Revista de Arqueologia 31 (1): 73–103.",FALSE,shcal20,0,0,,TP,,Cabeludo,Tupiguarani
Terra Preta do Mangabal,PA01311,1151,29,OxA-33125,Charcoal,Mangabal,,-5.1735,-56.9055,"Largest ADE site in its region, with more than 20 ha and mound features.",Previously undescribed complex associated with the Munduruku (Tupi).,Rocha 2017,"Rocha, Bruna. 2017. “Ipi Ocemumuge: A Regional Archaeology of the Upper Tapajós River.” London: University College of London.",FALSE,shcal20,0,0,,TP,,Terra Preta do Mangabal (PA01311),Mangabal
Albino Mazzari,RS-MJ-60,1150,70,SI-2204,,Tupiguarani,Guarani,-29.48,-53.6,,,Schmitz and Brochado 1972,"Schmitz, Pedro I, and Jose Joaquim Justiniano Proenza Brochado. 1972. “Datos Para Una Secuencia Cultural Del Estado de Rio Grande Do Sul, Brasil.” Gabinete de Arqueologia Publicações 2: 1–20.",FALSE,shcal20,0,0,,TP,,Albino Mazzari (RS-MJ-60),Tupiguarani (Guarani)
Boca do Rio,,1150,30,Beta-406836,Wood,Tupiguarani,,-2.3866,-45.474,Wooden foundations of stilt houses in a lake.,,Navarro 2018,"Navarro, Alexandre Guida. 2018. “Morando No Meio Dos Rios e Lagos: Mapeamento e Análise Cerâmica de Quatro Estearias Do Maranhão.” Revista de Arqueologia 31 (1): 73–103.",FALSE,shcal20,0,0,,TP,,Boca do Rio,Tupiguarani
Ourilândia 12,PA01070,1150,30,Beta-297753,Charcoal,Tupiguarani,,-6.4899,-51.0735,,,Panachuk and Cruz 2014,"Panachuk, Lílian, and Daniel G Cruz. 2014. Saga e Persistência: A Histórica Formação Do Sudeste Do Pará Desde Os Tempos (Mais) Antigos. São Paulo: Scientia Consultoria Científica.",FALSE,shcal20,0,0,,TP,,Ourilândia 12 (PA01070),Tupiguarani
RN-JE-17,,1150,65,SI-2364,,Tupiguarani,,-6.13,-36.81,,,Brochado et al. 1969,"Brochado, José Joaquim Justiniano Proenza, Valentin Calderón, Igor Chmyz, Clifford Evans, Silvia Maranca, Betty J Meggers, Eurico T Miller, et al. 1969. “Arqueologia Brasileira Em 1968.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 12.",FALSE,shcal20,0,0,,TP,,RN-JE-17,Tupiguarani
Porto Casanova 2,SP-AS-14,1130,150,SI-422,Charcoal,Tupiguarani,Guarani,-22.767,-51.05,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Porto Casanova 2 (SP-AS-14),Tupiguarani (Guarani)
Caboclo,,1120,30,Beta-406835,Wood,Tupiguarani,,-2.3069,-45.3867,Wooden foundations of stilt houses in a lake.,,Navarro 2018,"Navarro, Alexandre Guida. 2018. “Morando No Meio Dos Rios e Lagos: Mapeamento e Análise Cerâmica de Quatro Estearias Do Maranhão.” Revista de Arqueologia 31 (1): 73–103.",FALSE,shcal20,0,0,,TP,,Caboclo,Tupiguarani
Níquel do Vermelho 14,,1120,40,,,Tupiguarani,,-6.5119,-49.9045,,,GOLDER 2010,GOLDER. 2010. “Estudo de Impacto Ambiental: Mina Do Alemão.” Belo Horizonte.,FALSE,shcal20,0,0,,TP,,Níquel do Vermelho 14,Tupiguarani
Terra Queimada,RO-JP-03,1110,40,Beta-230196,Charcoal,Tupiguarani,,-8.8863,-64.7167,Site covering 750 x 350 m with midden area.,,Zimpel Neto 2008,"Zimpel Neto, Carlos Augusto. 2008. “Na Direção Das Periferias Extremas Da Amazônia: Arqueologia Na Bacia Do Rio Jiparaná, Rondônia.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Terra Queimada (RO-JP-03),Tupiguarani
Abrigo Troale,MT-SL-44,1100,60,Beta-27430,,Tupiguarani,,-16.2185,-54.2154,Rock shelter.,The provenience of the date is unclear. Could be Uru.,Wüst 1990,"Wüst, Irmhild. 1990. “Continuidade e Mudança: Para Uma Interpretação Dos Grupos Ceramistas Pré-Coloniais Da Bacia Do Rio Vermelho, Mato Grosso.” São Paulo: University of São Paulo.",TRUE,shcal20,0,0,,TP,,Abrigo Troale (MT-SL-44),Tupiguarani
Arqueiros,,1095,35,Gif-11727,Charcoal,Tupiguarani,,-16.5375,-54.9133,Rock shelter.,,Figuti 2006,"Figuti, Levy. 2006. “Os Sitios a Céu Aberto Na Fazenda Verde.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, 2:211–16. São Paulo: EdUSP.",FALSE,shcal20,0,0,,TP,,Arqueiros,Tupiguarani
Terra Queimada,RO-JP-03,1080,40,Beta-230195,Charcoal,Tupiguarani,,-8.8863,-64.7167,Site covering 750 x 350 m with midden area.,,Zimpel Neto 2008,"Zimpel Neto, Carlos Augusto. 2008. “Na Direção Das Periferias Extremas Da Amazônia: Arqueologia Na Bacia Do Rio Jiparaná, Rondônia.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Terra Queimada (RO-JP-03),Tupiguarani
Barra Escondida 1,SC-U-69,1070,100,SI-549,,Tupiguarani,Guarani,-27.133,-53.433,,,Stuckenrath and Mielke 1972,"Stuckenrath, R, and J Mielke. 1972. “Smithsonian Institution Radiocarbon Measurements VII.” Radiocarbon 14 (2): 401–12.",FALSE,shcal20,0,0,,TP,,Barra Escondida 1 (SC-U-69),Tupiguarani (Guarani)
Bassani,RS-LN-35,1070,110,SI-413,,Tupiguarani,Guarani,-29.767,-50.083,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,Bassani (RS-LN-35),Tupiguarani (Guarani)
Geraldo,PR-ST-01,1065,95,SI-695,Charcoal,Tupiguarani,Guarani,-23.3249,-52.6019,The site contained urn burials.,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Geraldo (PR-ST-01),Tupiguarani (Guarani)
Abrigo Pedra Talhada,GO-NI-176,1060,60,CENA-241,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Bitoca 1,PA-AT-277,1060,40,Beta-195708,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Cachoeira do Borges,,1060,40,Beta-217594,Charcoal,Tupiguarani,,-5.767,-50.502,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Cachoeira do Borges,Tupiguarani
Dique Bf2,PA-AT-282,1060,40,Beta-195715,,Tupiguarani,,-5.8227,-50.4945,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Dique Bf2 (PA-AT-282),Tupiguarani
ES-GU-01,ES-GU-01,1055,80,SI-828,Charcoal,Tupiguarani,,-20.98,-40.84,,,Perota 1975,"Perota, C. 1975. “As Datações Do C-14 Dos Sítios Arqueológicos Do Espírito Santo.” Revista Da Cultura UFES 4 (6).",FALSE,shcal20,0,0,,TP,,ES-GU-01,Tupiguarani
Camargo,SP00986,1030,100,,,Tupiguarani,,-23.167,-49.417,,This appears to refer to a preceramic occupation,Morais 1999,"Morais, José L. 1999. “Projeto Paranapanema: Programa de Pesquisas Arqueológicas Da Bacia Do Paranapanema, Estado de São Paulo.”",TRUE,shcal20,0,0,,TP,,Camargo (SP00986),Tupiguarani
Baixio dos Lopes,CE00532,1020,40,Beta-241015,,Tupiguarani,,-7.4922,-38.9999,Three funerary urns were recovered.,,Zanettini 2009,"Zanettini, P. 2009. “Programa de Resgate Do Patrimônio Arqueológico, Histórico e Cultural Da Ferovia Transnordestina (Trecho Missão Velha - Salgueiro), Estados Do Ceará e Pernambuco.” São Paulo: Zanettini Arquitetura.",FALSE,shcal20,0,0,,TP,,Baixio dos Lopes (CE00532),Tupiguarani
Isla Vizcaíno,,1020,130,URU-117,Charcoal,Tupiguarani,Guarani,-33.426,-58.425,The site contained urn burials.,,Coirolo 1990,"Coirolo, A D. 1990. “Prehistoria Del Uruguay: Clasificación de Las Formas de Los Recipientes Cerámicos.” Dédalo 28: 109–45.",FALSE,shcal20,0,0,,TP,,Isla Vizcaíno,Tupiguarani (Guarani)
Reginaldo,,1020,40,Beta-217606,Charcoal,Tupiguarani,,-5.764,-50.511,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Reginaldo,Tupiguarani
Ilha Água Limpa 1,MS-PR-64,1015,75,Gif-10039,,Tupiguarani,Guarani,-20.779,-51.689,,,Kashimoto and Martins 2008,"Kashimoto, Emilia M, and Gilson R Martins. 2008. “A Problemática Arqueológica Da Tradição Cerâmica Tupiguarani No Mato Grosso Do Sul.” In Os Ceramistas Tupiguarani, edited by André Prous and Tania A Lima, 149–78. Belo Horizonte: Sigma.",FALSE,shcal20,0,0,,TP,,Ilha Água Limpa 1 (MS-PR-64),Tupiguarani (Guarani)
Ramusse Albuquerque Nóbrega 1,GO-RS-01,1015,60,SI-4067,,Tupiguarani,,-10.78,-48,The site contained burials.,,Robrahn-González 1996,"Robrahn-González, Erika M. 1996. “Os Grupos Ceramistas Pré-Coloniais Do Centro-Oeste Brasileiro.” Revista Do Museu de Arqueologia e Etnologia 6: 83–121.",FALSE,shcal20,0,0,,TP,,Ramusse Albuquerque Nóbrega 1 (GO-RS-01),Tupiguarani
Km 28,PA-BA-11,1000,70,SI-4061,,Tupiguarani,Tucuruí,-3.8487,-49.7069,ADE site.,,Simões and Costa 1987,"Simões, Mário F, and Fernanda A Costa. 1987. “Pesquisas Arqueológicas No Baixo Rio Tocantins (Pará).” Revista de Arqueologia 4 (1): 11–27.",FALSE,shcal20,0,0,,TP,,Km 28 (PA-BA-11),Tupiguarani (Tucuruí)
Mirim,,1000,40,Beta-217597,Charcoal,Tupiguarani,,-5.763,-50.516,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Mirim,Tupiguarani
Yvytyrapireta,PA-KTM-20,1000,30,Beta,Charcoal,Tupiguarani,,-3.7858,-52.5624,"ADE site with pit features, hearths, ceramic deposits and a midden area.",,Garcia 2017,"Garcia, Lorena L W G. 2017. “Paisagens Do Médio-Baixo Xingu: Arqueologia, Temporalidade e Historicidade.” PhD Dissertation. Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Yvytyrapireta (PA-KTM-20),Tupiguarani
Níquel do Vermelho 14,,990,50,,,Tupiguarani,,-6.5119,-49.9045,,,GOLDER 2010,GOLDER. 2010. “Estudo de Impacto Ambiental: Mina Do Alemão.” Belo Horizonte.,FALSE,shcal20,0,0,,TP,,Níquel do Vermelho 14,Tupiguarani
Ourilândia 12,PA01070,990,30,Beta-297752,Charcoal,Tupiguarani,,-6.4899,-51.0735,,,Panachuk and Cruz 2014,"Panachuk, Lílian, and Daniel G Cruz. 2014. Saga e Persistência: A Histórica Formação Do Sudeste Do Pará Desde Os Tempos (Mais) Antigos. São Paulo: Scientia Consultoria Científica.",FALSE,shcal20,0,0,,TP,,Ourilândia 12 (PA01070),Tupiguarani
Alunorte,PA-BA-84,980,40,Beta-217584,Charcoal,Tupiguarani,,-1.539,-48.7254,ADE site with 5 ha.,,Senna 2016,"Senna, Cristina S F. 2016. “Geografia e Arqueologia: Análise Espacial e Contextual de Sítios Arqueológicos No Estuário Amazônico.” Revista GeoUSP 20 (2): 238–49.",FALSE,shcal20,0,0,,TP,,Alunorte (PA-BA-84),Tupiguarani
Bittencourt,PA-BA-83,970,40,Beta-217581,Charcoal,Tupiguarani,,-1.7421,-48.7305,,,Senna 2016,"Senna, Cristina S F. 2016. “Geografia e Arqueologia: Análise Espacial e Contextual de Sítios Arqueológicos No Estuário Amazônico.” Revista GeoUSP 20 (2): 238–49.",FALSE,shcal20,0,0,,TP,,Bittencourt (PA-BA-83),Tupiguarani
Córrego Lalima,MS-MI-01,970,60,Beta-238765,Charcoal,Tupiguarani,Guarani,-20.5678,-56.2823,,,Bespalez 2009,"Bespalez, Eduardo. 2009. “Levantamento Arqueológico e Etnoarqueologia Na Aldeia Lalima, Miranda/MS: Um Estudo Sobre a Trajetória Histórica Da Ocupação Indígena Regional.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego Lalima (MS-MI-01),Tupiguarani (Guarani)
Guaratiba,,970,100,SI-433,Charcoal,Tupiguarani,,-23.0167,-43.6,,,Mielke and Long 1969,"Mielke, J, and A Long. 1969. “Smithsonian Institution Radiocarbon Measurements V.” Radiocarbon 11 (1): 163–82.",FALSE,shcal20,0,0,,TP,,Guaratiba,Tupiguarani
Mirim,,950,50,Beta-217598,Charcoal,Tupiguarani,,-5.763,-50.516,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Mirim,Tupiguarani
Pau Preto,PA-AT-290,950,50,Beta-217604,Charcoal,Tupiguarani,,-5.7893,-50.5203,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Pau Preto (PA-AT-290),Tupiguarani
Sequeiro,PA-AT-284,950,40,Beta-217607,Charcoal,Tupiguarani,,-5.7834,-50.5253,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Sequeiro (PA-AT-284),Tupiguarani
Abrigo Troale,MT-SL-44,940,50,Beta-27431,,Tupiguarani,,-16.2185,-54.2154,Rock shelter.,The provenience of the date is unclear. Could be Uru.,Wüst 1990,"Wüst, Irmhild. 1990. “Continuidade e Mudança: Para Uma Interpretação Dos Grupos Ceramistas Pré-Coloniais Da Bacia Do Rio Vermelho, Mato Grosso.” São Paulo: University of São Paulo.",TRUE,shcal20,0,0,,TP,,Abrigo Troale (MT-SL-44),Tupiguarani
Dique Bf2,PA-AT-282,940,40,Beta-195714,,Tupiguarani,,-5.8227,-50.4945,,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Dique Bf2 (PA-AT-282),Tupiguarani
Níquel do Vermelho 14,,940,40,,,Tupiguarani,,-6.5119,-49.9045,,,GOLDER 2010,GOLDER. 2010. “Estudo de Impacto Ambiental: Mina Do Alemão.” Belo Horizonte.,FALSE,shcal20,0,0,,TP,,Níquel do Vermelho 14,Tupiguarani
Almeida,,930,100,,,Tupiguarani,,-23.283,-49.35,Nine patches of dark earth (potential house floors) aligned.,,Pallestrini 1975,"Pallestrini, Luciana. 1975. “Interpretação Das Estruturas Arqueológicas Em Sítios Do Estado de São Paulo.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Almeida,Tupiguarani
Armíndio,,930,30,Beta-404757,Wood,Tupiguarani,,-2.3747,-45.4056,Wooden foundations of stilt houses in a lake.,,Navarro 2018,"Navarro, Alexandre Guida. 2018. “Morando No Meio Dos Rios e Lagos: Mapeamento e Análise Cerâmica de Quatro Estearias Do Maranhão.” Revista de Arqueologia 31 (1): 73–103.",FALSE,shcal20,0,0,,TP,,Armíndio,Tupiguarani
Deus me Livre 2,PA-AT-23,925,55,,,Tupiguarani,Itacaiúnas,-5.84,-50.45,ADE site.,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Deus me Livre 2 (PA-AT-23),Tupiguarani (Itacaiúnas)
Olho D'água I,SC00634,920,60,Beta-280653,Marine shell,Tupiguarani,Guarani,-28.7917,-49.1972,Five patches of dark earth with domestic debris.,,Milheira and DeBlasis 2011,"Milheira, Rafael Guedes, and Paulo DeBlasis. 2011. “O Território Guarani No Litoral Sulcatarinense: Ocupação e Abandono No Limiar Do Período Colonial.” Revista de Arqueologia Americana 29: 147–82.",FALSE,marine20,29,43,,TP,,Olho D'água I (SC00634),Tupiguarani (Guarani)
Onça Puma 3,PA00978,920,40,Beta-236413,Charcoal,Tupiguarani,,-6.5294,-51.059,ADE site with 3.9 ha.,,Garcia 2012,"Garcia, Lorena L W G. 2012. “Arqueologia Na Região Dos Interflúvios Xingu-Tocantins: A Ocupação Tupi No Cateté.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Onça Puma 3 (PA00978),Tupiguarani
Panambí 3,,920,70,LP-176,,Tupiguarani,Guarani,-27.692,-54.901,,,Sempé and Caggiano 1995,"Sempé, M C, and M A Caggiano. 1995. “Las Culturas Agroalfareras Del Alto Río Uruguay (Misiones), Argentina.” Revista Do Museu de Arqueologia e Etnologia 5: 27–38.",FALSE,shcal20,0,0,,TP,,Panambí 3,Tupiguarani (Guarani)
Abrigo Pedra Talhada,GO-NI-176,910,60,CENA-250,Charcoal,Tupiguarani,,-13.9506,-48.2772,Rock shelter.,,Pontim 2011,"Pontim, Rute L. 2011. “A Tradição Tupiguarani Na Bacia Do Alto Tocantins.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Abrigo Pedra Talhada (GO-NI-176),Tupiguarani
Porto Casanova 2,SP-AS-14,908,100,SI-709,,Tupiguarani,Guarani,-22.767,-51.05,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Porto Casanova 2 (SP-AS-14),Tupiguarani (Guarani)
Lincoln Steuernagel,RS-MJ-53,905,95,SI-1196,,Tupiguarani,Guarani,-29.417,-53.332,Rock shelter.,,Brochado 1969,"Brochado, José Joaquim Justiniano Proenza. 1969. “Pesquisas Arqueológicas Nos Vales Do Ijuí e Do Jacuí.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 13: 31–62.",FALSE,shcal20,0,0,,TP,,Lincoln Steuernagel (RS-MJ-53),Tupiguarani (Guarani)
Joaquim Bosquero,SC-U-71,900,50,Beta-118377,,Tupiguarani,Guarani,-27.498,-51.75,,,Noelli 1999,"Noelli, Francisco Silva. 1999. “A Ocupação Humana Na Região Sul Do Brasil: Arqueologia, Debates e Perspectivas-1872-2000.” Revista USP 44: 218–69.",FALSE,shcal20,0,0,,TP,,Joaquim Bosquero (SC-U-71),Tupiguarani (Guarani)
Aquidauana 3,,890,50,SI-8680,,Tupiguarani,,-19.83,-55.66,,,Martins 1996,"Martins, D. 1996. “Relatórios de Levantamento e Resgate de Serra Da Mesa.” Goiânia: Museu Antropológico UFG.",FALSE,shcal20,0,0,,TP,,Aquidauana 3,Tupiguarani
Fazenda Soares,RS-RG-02,890,40,SI-1190,Charcoal,Tupiguarani,Guarani,-31.847,-52.222,,,Naue 1973,"Naue, Guilherme. 1973. “Dados Sobre o Estudo Dos Cerritos Na Área Meridional Da Lagoa Dos Patos, Rio Grande, Rio Grande Do Sul.” Revista Veritas 71 (3): 246–69.",FALSE,shcal20,0,0,,TP,,Fazenda Soares (RS-RG-02),Tupiguarani (Guarani)
Ipiranga,RO-JI-23b,880,60,,,Proto-Tupiguarani,,-10.8993,-61.9285,,,Miller 2009,"Miller, Eurico T. 2009. “A Cultura Cerâmica Do Tronco Tupí No Alto Ji-Paraná, Rondônia, Brasil: Algumas Reflexões Teóricas, Hipotéticas e Conclusivas.” Revista Brasileira de Linguística Antropológica 1 (1): 35–136.",FALSE,shcal20,0,0,,TP,,Ipiranga (RO-JI-23b),Proto-Tupiguarani
Bassani,RS-LN-35,870,100,SI-412,,Tupiguarani,Guarani,-29.767,-50.083,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,Bassani (RS-LN-35),Tupiguarani (Guarani)
Isla Vizcaíno,,870,100,URU-118,Charcoal,Tupiguarani,Guarani,-33.426,-58.425,The site contained urn burials.,Two dates (870 ± 100 BP and 790 ± 105) are published with the same laboratory number.,Coirolo 1990,"Coirolo, A D. 1990. “Prehistoria Del Uruguay: Clasificación de Las Formas de Los Recipientes Cerámicos.” Dédalo 28: 109–45.",FALSE,shcal20,0,0,,TP,,Isla Vizcaíno,Tupiguarani (Guarani)
SP-BA-07,SP-BA-07,850,150,SI-417,Charcoal,Tupiguarani,Guarani,-23.583,-49.6,,,Stuckenrath and Mielke 1970,"Stuckenrath, R, and J Mielke. 1970. “Smithsonian Institution Radiocarbon Measurements VI.” Radiocarbon 12 (1): 193–204.",FALSE,shcal20,0,0,,TP,,SP-BA-07,Tupiguarani (Guarani)
Angical,,845,50,,,Tupiguarani,,-5.86,-50.53,,,Corrêa 2014,"Corrêa, Angelo A. 2014. “Pindorama de Mboîa e Îakaré: Continuidade e Mudança Na Trajetória Das Populações Tupi.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Angical,Tupiguarani
